# Program:featureCounts v1.6.4; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-T" "6" "-a" "consensus_peaks.mRp.clN.saf" "-o" "consensus_peaks.mRp.clN.featureCounts.txt" "Tscm_R1.mLb.clN.sorted.bam" "Tscm_R3.mLb.clN.sorted.bam" "Tsem_R2.mLb.clN.sorted.bam" "Tsem_R1.mLb.clN.sorted.bam" "Tscm_R2.mLb.clN.sorted.bam" "Tsem_R3.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	Tscm_R1.mLb.clN.sorted.bam	Tscm_R3.mLb.clN.sorted.bam	Tsem_R2.mLb.clN.sorted.bam	Tsem_R1.mLb.clN.sorted.bam	Tscm_R2.mLb.clN.sorted.bam	Tsem_R3.mLb.clN.sorted.bam
Interval_56	chr1	1358566	1358815	+	250	10	11	2	4	8	6
Interval_57	chr1	1359292	1359527	+	236	14	15	1	1	5	4
Interval_58	chr1	1371155	1372238	+	1084	279	398	182	239	276	256
Interval_59	chr1	1375189	1375661	+	473	109	170	115	121	127	159
Interval_60	chr1	1399137	1399841	+	705	118	186	121	147	163	182
Interval_61	chr1	1407008	1407571	+	564	51	113	63	79	70	100
Interval_62	chr1	1462503	1462785	+	283	3	8	2	3	5	10
Interval_63	chr1	1471399	1471909	+	511	42	56	41	57	53	60
Interval_64	chr1	1504766	1505462	+	697	39	62	25	49	35	58
Interval_65	chr1	1511598	1512294	+	697	91	136	73	96	112	127
Interval_66	chr1	1574204	1574668	+	465	14	22	8	27	19	36
Interval_67	chr1	1574744	1575347	+	604	43	73	35	43	49	77
Interval_68	chr1	1607209	1607415	+	207	3	13	2	5	3	5
Interval_69	chr1	1614316	1614874	+	559	41	71	41	68	53	95
Interval_70	chr1	1615017	1615795	+	779	145	198	105	198	145	187
Interval_71	chr1	1629527	1630691	+	1165	111	227	160	259	183	251
Interval_72	chr1	1637264	1637528	+	265	1	8	2	2	8	4
Interval_73	chr1	1658838	1659416	+	579	77	138	82	107	91	136
Interval_74	chr1	1677613	1678683	+	1071	20	52	38	51	35	83
Interval_75	chr1	1692380	1693307	+	928	84	172	43	103	62	161
Interval_76	chr1	1724168	1724696	+	529	88	143	57	98	79	126
Interval_77	chr1	1728564	1728878	+	315	11	24	4	8	22	3
Interval_78	chr1	1738951	1739151	+	201	1	12	0	5	4	13
Interval_79	chr1	1745676	1746634	+	959	70	98	55	114	69	82
Interval_80	chr1	1753330	1753568	+	239	2	1	1	7	4	10
Interval_81	chr1	1778761	1779283	+	523	29	51	22	34	42	44
Interval_82	chr1	1780169	1780777	+	609	30	86	42	49	50	67
Interval_83	chr1	1858708	1859030	+	323	2	13	20	8	14	8
Interval_84	chr1	1891042	1891787	+	746	43	76	55	82	69	82
Interval_85	chr1	1908904	1909571	+	668	97	119	71	126	129	115
Interval_86	chr1	1919200	1919942	+	743	224	325	192	251	260	279
Interval_87	chr1	1943929	1944357	+	429	6	16	7	12	13	19
Interval_88	chr1	2044968	2045218	+	251	7	12	6	16	13	14
Interval_89	chr1	2049990	2050505	+	516	61	79	43	90	77	68
Interval_90	chr1	2133011	2133891	+	881	177	293	208	226	274	276
Interval_91	chr1	2139878	2140135	+	258	6	9	9	7	13	14
Interval_92	chr1	2146390	2146927	+	538	22	51	50	26	77	19
Interval_93	chr1	2148639	2149220	+	582	56	145	76	79	122	99
Interval_94	chr1	2153009	2153232	+	224	11	15	9	4	24	6
Interval_95	chr1	2189257	2189939	+	683	47	148	123	110	140	179
Interval_96	chr1	2194677	2195585	+	909	107	182	118	158	155	162
Interval_97	chr1	2199066	2199511	+	446	34	105	85	92	112	109
Interval_98	chr1	2204705	2205602	+	898	162	205	141	205	178	179
Interval_99	chr1	2212423	2212926	+	504	19	51	34	38	36	33
Interval_100	chr1	2227443	2228037	+	595	150	165	137	202	184	167
Interval_101	chr1	2230902	2232264	+	1363	311	524	345	339	487	425
Interval_102	chr1	2234239	2235060	+	822	112	268	225	247	252	301
Interval_103	chr1	2237215	2237539	+	325	34	61	37	27	53	38
Interval_104	chr1	2240290	2240637	+	348	12	29	19	12	37	31
Interval_105	chr1	2255275	2256473	+	1199	409	484	316	389	365	400
Interval_106	chr1	2259040	2259314	+	275	24	48	25	33	53	44
Interval_107	chr1	2268035	2268342	+	308	4	17	26	7	32	36
Interval_108	chr1	2283180	2283411	+	232	6	21	8	7	27	20
Interval_109	chr1	2290221	2291138	+	918	144	245	143	218	185	231
Interval_110	chr1	2300243	2301573	+	1331	454	697	514	546	586	659
Interval_111	chr1	2305139	2305485	+	347	12	14	37	71	15	107
Interval_112	chr1	2311224	2311936	+	713	93	111	50	89	59	123
Interval_113	chr1	2314995	2315566	+	572	57	36	43	111	61	74
Interval_114	chr1	2324640	2324840	+	201	3	1	6	9	2	12
Interval_115	chr1	2381745	2382148	+	404	13	24	14	26	21	31
Interval_116	chr1	2391349	2391949	+	601	145	202	120	176	193	183
Interval_117	chr1	2412433	2412982	+	550	67	89	52	80	102	74
Interval_118	chr1	2414405	2414625	+	221	7	21	8	14	15	25
Interval_119	chr1	2493851	2494291	+	441	11	25	11	24	17	38
Interval_120	chr1	2496230	2496591	+	362	6	21	10	33	21	34
Interval_121	chr1	2523613	2524293	+	681	27	87	28	46	53	56
Interval_122	chr1	2526014	2526896	+	883	56	92	51	62	99	115
Interval_123	chr1	2546001	2546749	+	749	91	135	84	163	118	153
Interval_124	chr1	2546819	2547360	+	542	71	102	47	103	99	110
Interval_125	chr1	2547844	2548345	+	502	43	65	22	52	50	73
Interval_126	chr1	2548584	2549139	+	556	96	162	97	108	145	139
Interval_127	chr1	2555079	2555307	+	229	15	16	4	10	23	15
Interval_128	chr1	2555564	2556707	+	1144	72	150	73	121	107	152
Interval_129	chr1	2578155	2578747	+	593	89	102	48	84	89	81
Interval_130	chr1	2584156	2584443	+	288	29	43	11	18	27	14
Interval_131	chr1	2585333	2586062	+	730	104	138	58	119	104	120
Interval_132	chr1	2586344	2586911	+	568	78	99	38	76	89	79
Interval_133	chr1	2642450	2643491	+	1042	79	87	41	96	89	81
Interval_134	chr1	2652257	2652500	+	244	8	9	17	11	19	10
Interval_135	chr1	2653133	2653400	+	268	7	6	5	9	19	12
Interval_136	chr1	2653645	2654315	+	671	20	23	38	35	55	27
Interval_137	chr1	2683911	2684421	+	511	10	9	14	7	28	8
Interval_138	chr1	2688077	2688282	+	206	4	5	4	4	8	4
Interval_139	chr1	2801593	2801909	+	317	9	15	4	9	7	11
Interval_140	chr1	2822034	2822247	+	214	3	9	3	2	2	10
Interval_141	chr1	2840026	2840760	+	735	30	53	24	16	48	22
Interval_142	chr1	2894525	2895038	+	514	13	45	16	22	30	31
Interval_143	chr1	3032945	3033564	+	620	68	134	25	47	82	30
Interval_144	chr1	3316535	3317019	+	485	25	54	17	17	61	46
Interval_145	chr1	3453109	3453619	+	511	9	23	10	14	20	21
Interval_146	chr1	3483985	3484193	+	209	2	7	2	1	8	5
Interval_147	chr1	3491092	3491708	+	617	11	17	6	14	33	29
Interval_148	chr1	3531313	3531837	+	525	22	53	29	61	52	26
Interval_149	chr1	3597483	3597895	+	413	4	11	16	10	15	11
Interval_150	chr1	3618996	3619345	+	350	8	20	5	9	14	17
Interval_151	chr1	3624481	3625109	+	629	75	123	70	113	104	102
Interval_152	chr1	3649472	3650332	+	861	24	55	27	44	48	50
Interval_153	chr1	3724422	3724647	+	226	6	6	2	4	4	8
Interval_154	chr1	3747237	3747628	+	392	16	23	8	17	22	13
Interval_155	chr1	3772059	3772798	+	740	51	73	23	65	46	54
Interval_156	chr1	3775930	3776241	+	312	9	27	11	13	21	25
Interval_157	chr1	3787289	3788039	+	751	27	160	102	100	97	156
Interval_158	chr1	3796294	3796865	+	572	42	83	41	62	69	91
Interval_159	chr1	3809817	3810637	+	821	5	77	45	32	37	100
Interval_160	chr1	3857002	3857708	+	707	134	211	107	143	149	180
Interval_161	chr1	3883535	3883957	+	423	4	26	9	8	13	23
Interval_162	chr1	3889981	3890370	+	390	2	26	18	12	12	37
Interval_163	chr1	3890464	3890695	+	232	3	16	3	7	8	28
Interval_164	chr1	3891026	3891437	+	412	6	35	26	17	21	47
Interval_165	chr1	3899905	3901144	+	1240	299	520	292	359	407	420
Interval_166	chr1	3910789	3911179	+	391	7	16	6	13	8	21
Interval_167	chr1	3922225	3922553	+	329	14	11	5	14	10	5
Interval_168	chr1	5329188	5329561	+	374	0	4	16	2	30	9
Interval_169	chr1	5348735	5349142	+	408	5	17	8	12	20	11
Interval_170	chr1	5370380	5370640	+	261	2	5	2	4	10	2
Interval_171	chr1	5388976	5389500	+	525	29	43	21	25	41	28
Interval_172	chr1	5423163	5423510	+	348	5	6	9	7	5	10
Interval_173	chr1	5481949	5482216	+	268	2	6	4	5	8	10
Interval_174	chr1	5666905	5667694	+	790	30	45	30	29	38	23
Interval_175	chr1	5667795	5667995	+	201	3	9	7	4	3	7
Interval_176	chr1	5668037	5668446	+	410	17	28	4	12	24	18
Interval_177	chr1	5937129	5937411	+	283	12	6	1	4	5	3
Interval_178	chr1	5955043	5955348	+	306	7	9	1	2	7	2
Interval_179	chr1	5992190	5992847	+	658	120	180	112	157	133	168
Interval_180	chr1	5994728	5995089	+	362	16	51	25	25	36	38
Interval_181	chr1	6005390	6005691	+	302	25	2	1	18	4	3
Interval_182	chr1	6013068	6013348	+	281	4	6	8	10	16	5
Interval_183	chr1	6026028	6026513	+	486	95	144	101	114	124	131
Interval_184	chr1	6026958	6027163	+	206	10	17	13	26	16	26
Interval_185	chr1	6027291	6027645	+	355	30	53	25	50	24	40
Interval_186	chr1	6028085	6028686	+	602	83	197	133	123	179	161
Interval_187	chr1	6034621	6034821	+	201	3	9	5	5	5	4
Interval_188	chr1	6037385	6037735	+	351	2	13	10	9	11	13
Interval_189	chr1	6127856	6128168	+	313	14	17	7	9	9	13
Interval_190	chr1	6148608	6148992	+	385	6	16	3	6	16	15
Interval_191	chr1	6199317	6199915	+	599	105	148	91	112	136	147
Interval_192	chr1	6206048	6206305	+	258	10	11	2	14	4	6
Interval_193	chr1	6235821	6236259	+	439	19	10	14	36	23	24
Interval_194	chr1	6245076	6245369	+	294	12	16	13	15	6	13
Interval_195	chr1	6246809	6247064	+	256	8	15	9	4	8	19
Interval_196	chr1	6259965	6260322	+	358	3	30	10	21	19	20
Interval_197	chr1	6348091	6348403	+	313	7	25	9	8	15	14
Interval_198	chr1	6348511	6349056	+	546	22	50	34	26	40	53
Interval_199	chr1	6358809	6359311	+	503	40	57	25	27	35	36
Interval_200	chr1	6359723	6359952	+	230	10	15	2	14	5	13
Interval_201	chr1	6365099	6365508	+	410	14	23	29	11	26	22
Interval_202	chr1	6393186	6394202	+	1017	59	88	56	129	96	114
Interval_203	chr1	6404689	6405005	+	317	5	11	4	5	7	4
Interval_204	chr1	6414384	6414678	+	295	7	13	4	5	7	7
Interval_205	chr1	6423449	6423848	+	400	12	15	4	10	9	22
Interval_206	chr1	6438089	6438373	+	285	7	12	6	10	18	14
Interval_207	chr1	6440237	6440696	+	460	19	25	9	26	20	23
Interval_208	chr1	6447728	6448238	+	511	22	37	20	32	39	37
Interval_209	chr1	6459803	6460902	+	1100	168	348	170	199	288	251
Interval_210	chr1	6465503	6466430	+	928	45	67	28	50	66	73
Interval_211	chr1	6475455	6475974	+	520	10	25	9	14	28	33
Interval_212	chr1	6486482	6486825	+	344	5	26	9	13	15	25
Interval_213	chr1	6489892	6490216	+	325	5	15	10	12	16	24
Interval_214	chr1	6493324	6493524	+	201	5	10	8	6	16	15
Interval_215	chr1	6554343	6554780	+	438	15	42	21	29	35	39
Interval_216	chr1	6579583	6580341	+	759	75	121	59	102	98	117
Interval_217	chr1	6600983	6601593	+	611	77	132	72	119	82	130
Interval_218	chr1	6602739	6603977	+	1239	113	216	112	185	165	187
Interval_219	chr1	6613337	6613954	+	618	110	151	81	129	139	156
Interval_220	chr1	6624839	6625330	+	492	21	38	28	28	42	62
Interval_221	chr1	6634622	6634875	+	254	2	3	4	5	5	10
Interval_222	chr1	6646614	6646814	+	201	3	7	2	1	0	8
Interval_223	chr1	6701398	6702207	+	810	33	50	23	40	40	57
Interval_224	chr1	6742195	6742413	+	219	2	11	2	7	6	10
Interval_225	chr1	6784452	6784719	+	268	22	38	18	30	36	28
Interval_226	chr1	6784873	6785546	+	674	186	321	209	248	261	264
Interval_227	chr1	6963377	6963680	+	304	5	11	7	3	8	10
Interval_228	chr1	7667569	7667858	+	290	5	12	7	10	4	16
Interval_229	chr1	7669615	7669832	+	218	6	6	4	3	8	10
Interval_230	chr1	7704465	7704824	+	360	29	31	14	19	24	23
Interval_231	chr1	7770895	7771442	+	548	23	26	8	19	27	24
Interval_232	chr1	7783697	7784362	+	666	42	60	35	105	48	43
Interval_233	chr1	7915865	7916124	+	260	5	12	5	9	4	9
Interval_234	chr1	7930828	7931559	+	732	29	59	40	53	15	50
Interval_235	chr1	7940783	7941051	+	269	6	8	3	15	6	6
Interval_236	chr1	7948991	7949512	+	522	26	58	34	55	51	65
Interval_237	chr1	7953828	7954561	+	734	24	50	35	71	33	57
Interval_238	chr1	7961124	7961873	+	750	141	242	163	200	206	225
Interval_239	chr1	7975347	7975605	+	259	5	5	3	5	6	8
Interval_240	chr1	7982285	7982661	+	377	7	15	7	13	16	16
Interval_241	chr1	8026155	8026696	+	542	26	27	19	38	14	24
Interval_242	chr1	8027009	8027243	+	235	2	8	2	3	7	10
Interval_243	chr1	8097387	8097719	+	333	4	16	9	8	10	14
Interval_244	chr1	8113389	8113610	+	222	0	3	9	3	4	4
Interval_245	chr1	8145590	8145861	+	272	3	14	7	0	11	3
Interval_246	chr1	8152577	8153603	+	1027	94	214	208	129	242	164
Interval_247	chr1	8167208	8167496	+	289	2	24	19	9	12	20
Interval_248	chr1	8169691	8170141	+	451	4	26	24	23	40	34
Interval_249	chr1	8182222	8182794	+	573	36	69	29	18	63	33
Interval_250	chr1	8317942	8318513	+	572	11	14	15	38	24	16
Interval_251	chr1	8348988	8349200	+	213	2	14	2	5	5	19
Interval_252	chr1	8390042	8390243	+	202	3	4	1	2	7	3
Interval_253	chr1	8395463	8395873	+	411	5	24	10	7	16	14
Interval_254	chr1	8396998	8397408	+	411	5	12	20	17	31	20
Interval_255	chr1	8424062	8424919	+	858	50	44	63	89	96	59
Interval_256	chr1	8427567	8427884	+	318	14	29	7	14	23	19
Interval_257	chr1	8431131	8431361	+	231	4	6	8	4	10	7
Interval_258	chr1	8472682	8472942	+	261	4	12	4	8	4	8
Interval_259	chr1	8495998	8496839	+	842	3	40	20	63	14	88
Interval_260	chr1	8510112	8510515	+	404	6	13	6	6	8	21
Interval_261	chr1	8511656	8512001	+	346	1	5	4	12	1	15
Interval_262	chr1	8516963	8517245	+	283	5	10	6	10	3	6
Interval_263	chr1	8525627	8526295	+	669	101	177	44	77	117	105
Interval_264	chr1	8533141	8533392	+	252	3	10	4	1	5	2
Interval_265	chr1	8539789	8539997	+	209	3	9	3	5	4	7
Interval_266	chr1	8545144	8545344	+	201	1	9	1	1	6	9
Interval_267	chr1	8561141	8561345	+	205	3	8	4	1	3	9
Interval_268	chr1	8701079	8701743	+	665	75	123	63	84	81	88
Interval_269	chr1	8712892	8713122	+	231	1	5	2	2	9	2
Interval_270	chr1	8817272	8818077	+	806	49	90	38	82	78	79
Interval_271	chr1	8829567	8829899	+	333	6	12	3	3	8	8
Interval_272	chr1	8848930	8849314	+	385	5	6	6	7	8	14
Interval_273	chr1	8858198	8858425	+	228	9	10	0	1	3	0
Interval_274	chr1	8859449	8859764	+	316	4	14	4	4	7	14
Interval_275	chr1	8873644	8874061	+	418	18	59	32	56	36	53
Interval_276	chr1	8876675	8876922	+	248	16	35	23	26	20	34
Interval_277	chr1	8877936	8878248	+	313	21	45	28	27	33	42
Interval_278	chr1	8878473	8879198	+	726	118	213	115	137	150	179
Interval_279	chr1	8899838	8900241	+	404	19	14	7	13	25	8
Interval_280	chr1	8918130	8918463	+	334	6	18	5	8	16	11
Interval_281	chr1	8926746	8927063	+	318	10	17	6	6	9	4
Interval_282	chr1	8962960	8963241	+	282	8	11	1	5	5	2
Interval_283	chr1	8969974	8970174	+	201	8	10	0	2	11	4
Interval_284	chr1	8970959	8971456	+	498	29	55	33	21	45	35
Interval_285	chr1	8983704	8983988	+	285	9	11	0	5	7	7
Interval_286	chr1	8988026	8988260	+	235	5	8	2	3	5	12
Interval_287	chr1	9005087	9005501	+	415	10	13	9	10	16	7
Interval_288	chr1	9110741	9111184	+	444	8	10	7	6	16	13
Interval_289	chr1	9122001	9122477	+	477	30	25	11	15	23	20
Interval_290	chr1	9128582	9128881	+	300	5	12	9	16	10	23
Interval_291	chr1	9129095	9129875	+	781	62	76	38	88	73	68
Interval_292	chr1	9142251	9142631	+	381	3	14	5	7	16	11
Interval_293	chr1	9203661	9203919	+	259	8	11	6	9	10	6
Interval_294	chr1	9234068	9234687	+	620	18	36	32	46	33	57
Interval_295	chr1	9234777	9235065	+	289	11	16	9	24	17	17
Interval_296	chr1	9239686	9240067	+	382	15	29	11	7	17	11
Interval_297	chr1	9267096	9267504	+	409	6	21	7	13	8	21
Interval_298	chr1	9275486	9275987	+	502	21	43	16	28	28	31
Interval_299	chr1	9290038	9290238	+	201	6	12	3	8	7	6
Interval_300	chr1	9293594	9293826	+	233	8	11	4	5	7	9
Interval_301	chr1	9316189	9316389	+	201	2	2	7	5	1	10
Interval_302	chr1	9389919	9390255	+	337	5	18	3	7	10	8
Interval_303	chr1	9413131	9413577	+	447	12	31	8	14	14	15
Interval_304	chr1	9417784	9418075	+	292	8	14	9	4	18	14
Interval_305	chr1	9426221	9426883	+	663	116	257	129	148	159	218
Interval_306	chr1	9428715	9429228	+	514	110	179	99	121	144	165
Interval_307	chr1	9495199	9495399	+	201	3	4	2	7	4	3
Interval_308	chr1	9539064	9539554	+	491	48	82	51	60	82	66
Interval_309	chr1	9539849	9540049	+	201	8	9	6	9	11	13
Interval_310	chr1	9546701	9546975	+	275	4	9	4	1	8	2
Interval_311	chr1	9559547	9560070	+	524	59	60	13	14	48	14
Interval_312	chr1	9561454	9561761	+	308	9	19	2	1	11	6
Interval_313	chr1	9564970	9565194	+	225	10	20	1	3	0	2
Interval_314	chr1	9588373	9588877	+	505	41	38	26	66	39	36
Interval_315	chr1	9589341	9589684	+	344	15	19	10	17	14	19
Interval_316	chr1	9615629	9615969	+	341	6	14	9	5	7	13
Interval_317	chr1	9626948	9627682	+	735	57	114	90	124	99	133
Interval_318	chr1	9629073	9629416	+	344	26	41	22	33	35	45
Interval_319	chr1	9629550	9630155	+	606	42	98	61	82	89	110
Interval_320	chr1	9652059	9652734	+	676	37	57	37	74	49	60
Interval_321	chr1	9655141	9655455	+	315	18	18	8	20	19	16
Interval_322	chr1	9671349	9671692	+	344	6	22	2	10	15	16
Interval_323	chr1	9687231	9687905	+	675	29	71	36	80	58	79
Interval_324	chr1	9689199	9689527	+	329	13	27	18	31	27	24
Interval_325	chr1	9711715	9711933	+	219	20	21	1	9	15	7
Interval_326	chr1	9715400	9715896	+	497	47	99	35	71	75	80
Interval_327	chr1	9717501	9718026	+	526	94	166	85	120	119	156
Interval_328	chr1	9721736	9722071	+	336	43	42	17	39	25	38
Interval_329	chr1	9725025	9725324	+	300	11	27	12	16	19	35
Interval_330	chr1	9728460	9729274	+	815	39	78	35	44	62	53
Interval_331	chr1	9768403	9768603	+	201	6	7	2	2	4	7
Interval_332	chr1	9787543	9788100	+	558	25	59	33	28	45	44
Interval_333	chr1	9800329	9800702	+	374	6	11	1	8	7	7
Interval_334	chr1	9823032	9823396	+	365	11	20	8	11	14	17
Interval_335	chr1	9823848	9824572	+	725	25	63	25	45	38	53
Interval_336	chr1	9825409	9825951	+	543	27	64	45	84	42	101
Interval_337	chr1	9867423	9867937	+	515	16	24	13	19	23	35
Interval_338	chr1	9874823	9875208	+	386	5	11	7	9	5	18
Interval_339	chr1	9881963	9882741	+	779	9	32	12	21	34	35
Interval_340	chr1	9910137	9911142	+	1006	199	257	189	226	255	240
Interval_341	chr1	9942391	9942708	+	318	11	27	7	6	13	17
Interval_342	chr1	9943102	9943629	+	528	36	56	29	40	40	54
Interval_343	chr1	9950305	9950703	+	399	11	37	13	15	24	31
Interval_344	chr1	10032517	10033403	+	887	156	232	137	192	187	220
Interval_345	chr1	10074394	10074674	+	281	2	16	6	4	6	7
Interval_346	chr1	10170324	10170651	+	328	10	14	2	1	1	6
Interval_347	chr1	10210126	10210653	+	528	63	82	64	77	83	87
Interval_348	chr1	10307905	10308360	+	456	9	51	62	29	85	45
Interval_349	chr1	10338060	10338396	+	337	2	10	5	0	8	17
Interval_350	chr1	10398566	10399347	+	782	124	178	109	153	140	140
Interval_351	chr1	10428159	10428380	+	222	8	21	5	14	11	14
Interval_352	chr1	10430035	10430997	+	963	43	67	34	62	63	78
Interval_353	chr1	10472285	10472817	+	533	52	80	40	59	69	73
Interval_354	chr1	10474729	10475283	+	555	43	64	38	41	53	77
Interval_355	chr1	10494714	10495539	+	826	20	48	43	25	45	36
Interval_356	chr1	10496101	10496373	+	273	3	19	5	1	18	6
Interval_357	chr1	10507380	10507731	+	352	14	42	16	18	16	28
Interval_358	chr1	10510769	10511544	+	776	59	120	55	72	93	89
Interval_359	chr1	10525092	10525664	+	573	7	37	37	58	32	64
Interval_360	chr1	10544239	10544648	+	410	16	31	16	13	33	15
Interval_361	chr1	10692318	10692730	+	413	13	25	11	18	20	30
Interval_362	chr1	10755889	10756283	+	395	20	24	17	17	24	11
Interval_363	chr1	10867135	10867627	+	493	3	4	5	10	7	22
Interval_364	chr1	10903718	10904056	+	339	4	20	2	12	19	16
Interval_365	chr1	10904807	10905229	+	423	8	20	7	7	15	17
Interval_366	chr1	10909926	10910323	+	398	9	7	3	6	11	19
Interval_367	chr1	10917811	10918374	+	564	19	51	35	37	60	60
Interval_368	chr1	10932178	10932429	+	252	6	12	6	4	9	7
Interval_369	chr1	10941938	10942295	+	358	8	11	3	5	13	12
Interval_370	chr1	10964996	10965237	+	242	7	14	3	6	7	6
Interval_371	chr1	10965590	10966062	+	473	10	27	11	8	10	12
Interval_372	chr1	11012091	11013272	+	1182	100	175	86	124	124	164
Interval_373	chr1	11037621	11038009	+	389	5	19	10	10	17	19
Interval_374	chr1	11059954	11060387	+	434	28	27	25	71	47	40
Interval_375	chr1	11060833	11061320	+	488	14	44	33	41	37	59
Interval_376	chr1	11063070	11063310	+	241	3	14	5	9	5	28
Interval_377	chr1	11099371	11100139	+	769	32	44	27	36	36	58
Interval_378	chr1	11241833	11242128	+	296	2	9	3	7	3	11
Interval_379	chr1	11246069	11246552	+	484	6	41	8	4	24	10
Interval_380	chr1	11262344	11262974	+	631	127	239	132	170	181	213
Interval_381	chr1	11272776	11273809	+	1034	61	102	44	108	80	105
Interval_382	chr1	11280987	11281262	+	276	5	11	4	2	11	5
Interval_383	chr1	11337541	11337800	+	260	1	9	5	3	7	7
Interval_384	chr1	11383795	11384131	+	337	5	11	4	1	7	3
Interval_385	chr1	11478662	11479042	+	381	6	9	5	21	10	20
Interval_386	chr1	11501534	11501757	+	224	0	10	2	4	5	3
Interval_387	chr1	11522670	11522915	+	246	5	3	2	5	11	9
Interval_388	chr1	11642397	11642776	+	380	14	12	4	7	11	9
